serial_number,battery_name,data_recieved,tech_date_recieved,battery_status,technical_id,from_swap
QBFD26K2301244,80D26L 70AH,30/Apr/2024,6-Nov-2024,Loaded,2,2
AA24S2835494,80D26L 70AH,14/Jul/2024,7-Nov-2024,Loaded,1,1
QBFL34H232212938,DIN74L 74AH,12-Aug-2024,8-Nov-2024,Loaded,1,1
AI241178735,DIN80L 80AH,11-Sep-2024,9-Nov-2024,Loaded,1,1
AI243083166,DIN55L 60AH,30-Sep-2024,10-Nov-2024,Loaded,1,1
AJ241386317,DIN55R 60AH,13-Oct-2024,11-Nov-2024,Loaded,2,1
AJ243191002,NS60L 45AH,31-Oct-2024,3-Dec-2024,Loaded,4,4
AJ243191003,NS60L 45AH,31-Oct-2024,23-Dec-2024,Loaded,2,2
AK241192570,105D31L 100AH,12-Nov-2024,20-Nov-2024,Loaded,1,1
AK241292632,55D23R 60AH,12-Nov-2024,24-Nov-2024,Loaded,4,4
AK241292634,95D31R 90AH,12-Nov-2024,13-Nov-2024,Loaded,1,1
AK241693056,55D23L 55AH,16-Nov-2024,16-Nov-2024,Loaded,2,2
AK241893492,80D26R 70AH,18-Nov-2024,21-Nov-2024,Loaded,2,2
AK242093616,NS40L 35AH BH,20-Nov-2024,21-Nov-2024,Loaded,2,2
AK242093617,NS40L 35AH BH,20-Nov-2024,25-Nov-2024,Loaded,4,4
AK242093620,DIN55R 60AH,20-Nov-2024,25-Nov-2024,Loaded,4,4
AK242093621,DIN55R 60AH,20-Nov-2024,1-Dec-2024,Loaded,4,4
AK242494445,95D31L 90AH,24-Nov-2024,14-Dec-2024,Loaded,4,4
AK242694744,105D31L 100AH,26-Nov-2024,27-Nov-2024,Loaded,2,2
AK242694745,105D31L 100AH,26-Nov-2024,,Loaded,,
AL240195298,55D23L 55AH,2-Dec-2024,2-Dec-2024,Loaded,4,4
AL240195299,55D23L 55AH,2-Dec-2024,,Loaded,,
AL240495865,DIN66L 66AH,5-Dec-2024,14-Dec-2024,Loaded,4,4
AL240495866,DIN66L 66AH,5-Dec-2024,25-Dec-2024,Loaded,2,2
AL240896448,55D23L 60AH,8-Dec-2024,12-Dec-2024,Loaded,2,2
AL240896451,55D23L 60AH,8-Dec-2024,,Loaded,,
AL240896454,55D23L 60AH,8-Dec-2024,22-Dec-2024,Loaded,4,4
AL240896455,55D23L 60AH,8-Dec-2024,22-Dec-2024,Loaded,4,4
AL240896456,55D23L 60AH,8-Dec-2024,28-Dec-2024,Loaded,2,2
AL240896457,55D23L 60AH,8-Dec-2024,,Loaded,,
AL240896468,NS60L 45AH,8-Dec-2024,,Loaded,,
AL240896469,NS60L 45AH,8-Dec-2024,,Loaded,,
AL240896488,DIN80L 80AH,8-Dec-2024,17-Dec-2024,Loaded,4,4
AL240896490,DIN80L 80AH,8-Dec-2024,22-Dec-2024,Loaded,2,2
AL240896491,DIN80L 80AH,8-Dec-2024,29-Dec-2024,Loaded,2,2
AL240896492,DIN80L 80AH,8-Dec-2024,29-Dec-2024,Loaded,4,4
AL241197442,80D26R 70AH,12-Dec-2024,12-Dec-2024,Loaded,4,4
AL241197443,80D26R 70AH,12-Dec-2024,,Loaded,,
AL241197444,105D31R 100AH,12-Dec-2024,21-Dec-2024,Loaded,4,4
AL241197445,105D31R 100AH,12-Dec-2024,23-Dec-2024,Loaded,4,4
AL241197446,105D31R 100AH,12-Dec-2024,25-Dec-2024,Loaded,2,2
